epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94345,1.76486,3.38629,1.56067,0.00436,1,0.05359,0.01353,1.79967,3.48599,1.55563,4e-05,4e-05,4e-05
2,2.49176,1.61696,3.42589,1.5034,0.00436,1,0.03328,0.01223,1.85258,3.45025,1.57824,9.9505e-05,9.9505e-05,9.9505e-05
3,3.09497,1.78821,3.48956,1.58767,0.00436,1,0.1001,0.04372,1.73698,3.36046,1.56659,0.000158416,0.000158416,0.000158416
4,3.73824,1.69101,3.20296,1.45339,0.0041,0.94118,0.22267,0.05572,2.40612,4.25931,2.05084,0.000216733,0.000216733,0.000216733
5,4.38985,1.21635,2.63601,1.26376,0.00436,1,0.63313,0.18536,2.19366,3.82329,1.86273,0.000274456,0.000274456,0.000274456
6,5.02596,1.24278,2.34998,1.38637,0.00436,1,0.71729,0.30278,1.71123,3.40006,1.54447,0.000331585,0.000331585,0.000331585
7,5.68292,1.29521,2.20814,1.42576,0.00436,1,0.67803,0.26406,1.72066,3.3792,1.59381,0.00038812,0.00038812,0.00038812
8,6.33734,1.23251,1.78795,1.26877,0.00436,1,0.61014,0.23943,1.82308,3.3807,1.67214,0.000444061,0.000444061,0.000444061
9,6.98201,1.39633,1.86972,1.38714,0.00436,1,0.58845,0.20706,1.87812,3.36733,1.84167,0.000499408,0.000499408,0.000499408
10,7.59168,1.26757,1.84903,1.31856,0.00436,1,0.57594,0.21652,1.91278,3.28858,1.94382,0.000554161,0.000554161,0.000554161
11,8.24531,1.23675,1.72494,1.36694,0.06824,0.64706,0.51452,0.22634,1.65849,3.22475,1.73237,0.00060832,0.00060832,0.00060832
12,8.86636,1.33134,1.85306,1.39308,0.00436,1,0.43644,0.23014,1.46665,3.20232,1.65583,0.000661885,0.000661885,0.000661885
13,9.53112,1.2854,1.6729,1.39553,0.00436,1,0.34631,0.13517,1.7297,3.38203,1.8332,0.000714856,0.000714856,0.000714856
