epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2522.08,1.15782,0.71203,1.23636,0.95143,0.94423,0.96045,0.65828,1.15377,0.54896,1.20068,0.007921,0.007921,0.007921
44,2581.23,1.16105,0.71379,1.23419,0.95192,0.94048,0.96517,0.66659,1.15525,0.54472,1.20733,0.0078715,0.0078715,0.0078715
45,2640.53,1.15907,0.71192,1.23974,0.94757,0.94223,0.9621,0.66153,1.15047,0.55193,1.20763,0.007822,0.007822,0.007822
46,2699.84,1.1499,0.70221,1.23291,0.94714,0.94638,0.96289,0.66756,1.13774,0.54594,1.19297,0.0077725,0.0077725,0.0077725
47,2759.29,1.15398,0.7098,1.23524,0.9498,0.93991,0.96403,0.66655,1.14967,0.53286,1.20831,0.007723,0.007723,0.007723
48,2818.55,1.15389,0.70333,1.22924,0.95086,0.94232,0.96582,0.66989,1.14404,0.52212,1.19427,0.0076735,0.0076735,0.0076735
49,2878,1.15686,0.692,1.22529,0.94691,0.94786,0.96449,0.67156,1.13948,0.53918,1.19116,0.007624,0.007624,0.007624
50,2937.31,1.14274,0.69045,1.22622,0.95029,0.94976,0.96768,0.67592,1.12459,0.52005,1.17805,0.0075745,0.0075745,0.0075745
51,2996.7,1.13241,0.69636,1.2163,0.95186,0.94688,0.96769,0.66977,1.13155,0.52951,1.18196,0.007525,0.007525,0.007525
52,3056.1,1.13845,0.69836,1.21905,0.94595,0.94697,0.96646,0.67182,1.12628,0.52724,1.18414,0.0074755,0.0074755,0.0074755
53,3115.46,1.12269,0.68123,1.21379,0.95298,0.94786,0.96459,0.68013,1.13067,0.51397,1.18915,0.007426,0.007426,0.007426
54,3174.85,1.12885,0.68888,1.21531,0.94803,0.94688,0.96469,0.67963,1.13171,0.51579,1.18078,0.0073765,0.0073765,0.0073765
55,3234.28,1.12956,0.67308,1.21343,0.94789,0.94983,0.96474,0.6794,1.11462,0.51743,1.17352,0.007327,0.007327,0.007327
56,3291.22,1.12799,0.68456,1.2172,0.94133,0.94705,0.96315,0.67341,1.1223,0.51868,1.17331,0.0072775,0.0072775,0.0072775
57,3347.86,1.13192,0.67605,1.21496,0.95225,0.95144,0.96518,0.67831,1.12194,0.51401,1.1761,0.007228,0.007228,0.007228
